JobID|User|Account|Partition|State|AllocCPUS|Elapsed|Start|End|NCPUS|NNodes|TotalCPU|UserCPU|SystemCPU|CPUTime
5858766|amine.andam|sccs-dna-account|gpu|CANCELLED by 1496|1|1-05:25:50|2023-12-12T08:09:59|2023-12-13T13:35:49|1|1|1-05:20:32|20:56:32|08:24:00|1-05:25:50
5858766.batch||sccs-dna-account||CANCELLED|1|1-05:25:51|2023-12-12T08:09:59|2023-12-13T13:35:50|1|1|1-05:20:32|20:56:32|08:24:00|1-05:25:51
5858767|amine.andam|sccs-dna-account|gpu|CANCELLED by 1496|1|1-05:31:40|2023-12-12T08:11:14|2023-12-13T13:42:54|1|1|1-05:26:38|20:51:13|08:35:24|1-05:31:40
5858767.batch||sccs-dna-account||CANCELLED|1|1-05:31:41|2023-12-12T08:11:14|2023-12-13T13:42:55|1|1|1-05:26:38|20:51:13|08:35:24|1-05:31:41
5858768|ikissami|novec-account|gpu|TIMEOUT|1|00:06:11|2023-12-12T08:14:56|2023-12-12T08:21:07|1|1|04:29.160|03:48.100|00:41.059|00:06:11
5858768.batch||novec-account||CANCELLED|1|00:06:13|2023-12-12T08:14:56|2023-12-12T08:21:09|1|1|04:29.160|03:48.100|00:41.059|00:06:13
5858769|ikissami|novec-account|gpu|CANCELLED by 1063|5|00:26:53|2023-12-12T08:30:05|2023-12-12T08:56:58|5|1|12:20.192|10:27.116|01:53.075|02:14:25
5858769.batch||novec-account||CANCELLED|5|00:26:54|2023-12-12T08:30:05|2023-12-12T08:56:59|5|1|12:20.192|10:27.116|01:53.075|02:14:30
5858770|badr-eddine.semlali|crsa-account|longq|FAILED|8|06:29:35|2023-12-12T08:33:50|2023-12-12T15:03:25|8|1|04:50:24|04:14:16|36:08.387|2-03:56:40
5858771|badr-eddine.semlali|crsa-account|longq|FAILED|4|06:29:01|2023-12-12T08:34:24|2023-12-12T15:03:25|4|1|05:43:43|05:00:15|43:28.020|1-01:56:04
5858772|badr-eddine.semlali|crsa-account|longq|FAILED|8|06:27:21|2023-12-12T08:36:04|2023-12-12T15:03:25|8|1|05:48:51|05:41:45|07:06.682|2-03:38:48
5858773|ilyas.bouziani|limset-account|longq|CANCELLED by 1437|44|00:06:39|2023-12-12T08:36:27|2023-12-12T08:43:06|44|1|04:43:24|04:28:30|14:54.069|04:52:36
5858773.batch||limset-account||CANCELLED|44|00:06:42|2023-12-12T08:36:27|2023-12-12T08:43:09|44|1|04:43:24|04:28:30|14:54.069|04:54:48
5858774|ikissami|novec-account|gpu|COMPLETED|2|00:04:47|2023-12-12T08:41:48|2023-12-12T08:46:35|2|2|00:47.041|00:42.912|00:04.128|00:09:34
5858775|ilyas.bouziani|limset-account|longq|CANCELLED by 1437|44|00:04:53|2023-12-12T08:43:54|2023-12-12T08:48:47|44|1|03:04:32|02:54:05|10:26.968|03:34:52
5858775.batch||limset-account||CANCELLED|44|00:04:55|2023-12-12T08:43:54|2023-12-12T08:48:49|44|1|03:04:32|02:54:05|10:26.968|03:36:20
5858776|ilyas.bouziani|limset-account|longq|COMPLETED|44|01:39:25|2023-12-12T08:50:51|2023-12-12T10:30:16|44|1|2-23:30:29|2-19:19:55|04:10:33|3-00:54:20
5858776.batch||limset-account||COMPLETED|44|01:39:25|2023-12-12T08:50:51|2023-12-12T10:30:16|44|1|2-23:30:29|2-19:19:55|04:10:33|3-00:54:20
5858777|ikissami|novec-account|gpu|CANCELLED by 1063|2|00:05:20|2023-12-12T08:51:37|2023-12-12T08:56:57|2|2|01:17.279|01:02.869|00:14.410|00:10:40
5858778|ikissami|novec-account|gpu|CANCELLED by 1063|4|00:03:38|2023-12-12T08:53:20|2023-12-12T08:56:58|4|1|05:38.151|04:49.094|00:49.056|00:14:32
5858778.batch||novec-account||CANCELLED|4|00:03:39|2023-12-12T08:53:20|2023-12-12T08:56:59|4|1|05:38.151|04:49.094|00:49.056|00:14:36
5858779|ikissami|novec-account|gpu|COMPLETED|2|00:01:19|2023-12-12T08:58:56|2023-12-12T09:00:15|2|2|00:02.900|00:01.942|00:00.958|00:02:38
5858780|ikissami|novec-account|gpu|COMPLETED|2|00:00:48|2023-12-12T09:00:35|2023-12-12T09:01:23|2|2|00:03.080|00:02.008|00:01.072|00:01:36
5858781|ikissami|novec-account|gpu|COMPLETED|1|00:00:03|2023-12-12T09:02:43|2023-12-12T09:02:46|1|1|00:01.832|00:01.282|00:00.549|00:00:03
5858781.batch||novec-account||COMPLETED|1|00:00:03|2023-12-12T09:02:43|2023-12-12T09:02:46|1|1|00:01.832|00:01.282|00:00.549|00:00:03
5858782|ikissami|novec-account|gpu|FAILED|2|00:00:30|2023-12-12T09:04:26|2023-12-12T09:04:56|2|2|00:05.622|00:04.386|00:01.235|00:01:00
5858783|ikissami|novec-account|gpu|FAILED|1|00:12:50|2023-12-12T09:05:00|2023-12-12T09:17:50|1|1|04:00.499|03:46.426|00:14.072|00:12:50
5858784|ikissami|novec-account|gpu|CANCELLED by 1063|2|01:01:03|2023-12-12T09:06:58|2023-12-12T10:08:01|2|1|03:27.156|01:42.068|01:45.087|02:02:06
5858784.batch||novec-account||CANCELLED|2|01:01:05|2023-12-12T09:06:58|2023-12-12T10:08:03|2|1|03:27.156|01:42.068|01:45.087|02:02:10
5858785|team1337|novec-account|gpu|FAILED|44|00:20:27|2023-12-12T09:38:58|2023-12-12T09:59:25|44|1|03:53.329|03:07.103|00:46.226|14:59:48
5858786|ikissami|novec-account|gpu|TIMEOUT|1|00:06:29|2023-12-12T09:42:39|2023-12-12T09:49:08|1|1|00:18.112|00:10.072|00:08.040|00:06:29
5858786.batch||novec-account||CANCELLED|1|00:06:30|2023-12-12T09:42:39|2023-12-12T09:49:09|1|1|00:18.112|00:10.072|00:08.040|00:06:30
5858787|ikissami|novec-account|special|COMPLETED|1|00:00:03|2023-12-12T09:54:32|2023-12-12T09:54:35|1|1|00:01.505|00:01.075|00:00.429|00:00:03
